,news
344,India joins 135 nations at UN to denounce Iran’s ‘egregious’ attacks on Gulf countries
345,IIT Gandhinagar to decide on Michel Danino’s position after SC calls for dissociating from his NCERT book team
346,"Petrol, diesel Prices Today, March 12: Rates in Delhi, Bengaluru, Chennai, Mumbai, Kolkata, and other cities"
347,3-day exhibition on natural resources of Ajmer–Merwara opens in Ajmer
348,Man who ‘wanted to kill Farooq Abdullah for 20 years’: Who is Kamal Singh Jamwal
349,"In Assam, a medical college is renamed, a political storm brews"
350,‘Is our son’s life worth so little?’: Family after Supreme Court order in BIT Mesra student’s death
351,Odisha CM flags ‘ill-treatment’ of President Murmu during West Bengal visit
352,Meet the 2 families that took fight to Supreme Court after losing daughters to ‘Covid vaccine side-effects’
353,Strait of Hormuz incident | Deplorable: India after ship bound for Kandla attacked
354,"Euthanasia for man in vegetative state for 13 years: ‘House will feel empty, so will heart… placing our son in God’s lap’"
355,"I&B ministry asks Telegram to remove, disable access to 3,142 URL links"
356,Bharat Taxi to be expanded to all big cities in 2-3 years: Govt
357,"Shot fired at Farooq Abdullah from point-blank range, he escapes unhurt; assassination bid: Omar"
358,"LPG crisis: MHA directs states, UTs to tighten security around LPG bottling plants and distribution network, crackdown on black marketing"
359,BJD block chairperson attacked in office chamber; Naveen Patnaik blames ‘BJP goondas’
360,Reports of ‘captive’ civilians spark fresh Naga-Kuki tensions in Manipur’s Ukhrul
361,‘How will he speak from Germany?’: Amit Shah attacks Rahul Gandhi over foreign trips during House sessions
362,"A Padma Shri, a fading art: The untold story of Kurumba artist Krishnan and a 3,000-year-old tradition"
363,"West Asia crisis a reminder for self-reliance, energy growth: PM Modi"
364,"NCERT book row: Who are the 3 whom SC wants Centre, states to disassociate from"
365,"Amid LPG worries, note of caution from Goa hotels body: ‘F&B businesses could be hit’"
366,‘We don’t abandon our own’: PM Modi cites rescue of nurses and Father Tom to slam Congress in Kerala
367,"I was silenced: Rahul; Opposition motion against Speaker unfounded, provocative: Prasad"
368,"IDFC First Bank fraud case: ED conducts searches across 19 locations in Chandigarh, Haryana, NCR"
369,"Two Indians killed, one missing in merchant vessels attack amid Israel-US Iran war: MEA"
370,"108 Maoists, Rs 3.6 crore cash, 1 kg gold – surrenders mark days leading up to Home Ministry deadline"
371,BJP MP demands action against Bengal government for President’s ‘protocol breach’
372,"India LPG Gas Shortage News Live Updates: ‘Conflict has affected stainless steel manufacturing,’ Abhyuday Jindal says"
373,CBI arrests own inspector for seeking Rs 2 crore to ‘settle’ complaint from South Delhi resident
374,"As Panaji votes for municipal polls today, what do voters most care about?"
375,"Fields of opium landed Chhattisgarh BJP leader in police net, he now blames domestic help"
376,"Darwin Labs co-founder intercepted at Mumbai airport, arrested by CBI in GainBitcoin cryptocurrency fraud case"
377,"Gold Rate Today, March 11: Check 18, 22 and 24 carat gold prices in Chennai, Mumbai, Delhi, Kolkata and other cities"
378,"Tribal vs non-tribal faultlines deepen in Meghalaya, Garo Hills polls are postponed"
379,"Air India Express flight to Thailand suffers nose wheel issue, hard lands at Phuket airport: VIDEO"
380,Protocol war in Kerala: Why CM Pinarayi Vijayan is boycotting PM Modi’s Kochi event
381,"Defence Ministry to shift soon, clearing the way for South Block’s retrofitting as a museum"
382,"Parliament Budget Session 2026 Highlights: Petroleum Minister Hardeep Puri says ‘no shortage’, have enough supplies of fuel"
383,Benefits to boarded out officer cadets — ‘We will have to summon secretaries now’: SC warns Centre over delay in decision
384,"‘Pre-soak grains, cook in batches, rationalise menu’: National restaurant body issues advisory as LPG shortage hits kitchens"
385,32-fold increase in coliform bacteria: CAG flags untreated sewage discharge into Ganga in Uttarakhand
386,‘Total non-application by detaining authority’: J-K High Court raps official over drug trafficking action
387,Chhattisgarh Cabinet approves new Bill to curb forced conversion
388,"Ancient hub of religious activity unearthed in Rajasthan: Excavations reveal 1,000-year-old idols, architectural secrets"
389,"Prof Hermann Kulke, renowned Indologist who became global voice of Odisha history, passes away"
390,"Why over 1,000 Revenue officials in Bihar are going on strike for a second time"
391,Why induction stove sales are suddenly surging: LPG shortage linked to West Asia conflict sparks rush to alternatives
392,"Shortened menus at restaurants, days-long wait for laundry: How LPG shortage amid West Asia conflict is affecting Indians"
393,"Soon after Tarique Rahman became PM, Bangladesh spy chief met top Indian intel officials"
394,"Most Chinese ‘Xiaokang’ villages in contested areas, ‘uncertain trajectory’ of ties with Bangladesh impacting Siliguri Corridor: Lt Gen Ghai"
395,"Jaishankar, Iran’s Araghchi hold third call as war rages"
396,"Govt is responsible for weakening the institution of Speaker, says Opposition"
397,"Bihar Assembly elections: BJP spent Rs 146 crore, Congress Rs 35 crore"
398,Alexander Alexandrovich Dynkin: ‘Trump is an extravaganza person; his tariff war is like gun stop in American movies’
399,‘Anarchy disguised as principle’: Rahul Gandhi in NDA crosshairs as Parliament battle over Speaker Om Birla intensifies
400,"Birla presided over liquidation of Parliamentary democracy, says Moitra"
401,Tension in Meghalaya: Why Garo Hills council elections have triggered 2 deaths and a curfew
402,‘Of paramount importance’: SC to examine Bombay HC verdict on Centre’s fact check units under IT Rules
403,"‘Anti-national, subversive activities’: 3 J-K Jal Shakti workers dismissed from service"
404,"Uproar in Rajya Sabha over Bengal SIR: As Opposition MPs stage walkout, Nadda says their only aim is to incite ‘anarchy’"
405,"Wangchuk to Kejriwal, Modi govt normalising jailing people on bogus charges: Sisodia in Jammu"
406,Exclusive: Union Cabinet clears Rs 1.51 lakh crore for Jal Jeevan with digital mapping
407,"In his swan song yatra, Nitish strikes optimistic note for Bihar; deputy says he’s not going anywhere"
408,‘Speaker is not voice of Govt’: Gaurav Gogoi leads Opposition attack as Lok Sabha takes up resolution seeking Om Birla’s removal
409,Opposition moves no-confidence motion against Om Birla: How hard is it to remove a Lok Sabha Speaker?
410,1.5 lakh kg Amul products destroyed after Jaipur firm found ‘changing date on expired items’
411,"Weather forecast: Mercury likely to rise in Delhi, Mumbai and UP; no rain in sight for now"
412,"Gold Rate Today, March 10: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities"
413,‘Sincerely regret the inconvenience’: NCERT issues unconditional apology over Class 8 textbook
414,"‘I can arrest you’: Row after Giridih DC’s ‘Women’s Day’ warning to protesting water workers goes viral, BJP demands action"
415,Why some cheetahs from Madhya Pradesh are making their way to Rajasthan
416,"Kerala minister Ganesh Kumar’s wife alleges infidelity, he calls it election stunt"
417,Disabled teen dies after scuffle during India–New Zealand World Cup final viewing in Bihar village
418,"Uttarakhand Budget puts focus on Kumbh Mela, elevated corridor"
419,"From a carved table gifted by Putin to PM Modi to selection of Chola bronzes, over 100 artefacts find place of pride in new PMO"
420,"Home ministry bars NCW, NHRC, NCPCR, NCLT from directly seeking issuance of Look Out Circulars"
421,Forest Survey of India stops its AI-based fortnightly alerts to states on deforestation
422,No protest over sinking of Iran ship: Congress slams EAM’s statement
423,"Kharge seeks discussion on West Asia; irresponsible behaviour, says Nadda"
424,"One Nation, One Election meeting: Opp would benefit from simultaneous polls, says Ghulam Nabi"
425,Commercial space stations the next big thing in space
426,1 constituency and a question of ‘respect’: Raijor Dal on why alliance with Congress collapsed in Assam
427,"Exclusive: Academic stress linked to 3 suicides on BITS Pilani Goa campus, police probe indicates"
428,"Modi, Mamata exchange barbs again over President’s ‘protocol violation’"
429,"Andreas Motzfeldt Kravik, Norway’s Deputy Foreign Minister: India ascending, we believe no problem can be resolved without its participation"
430,"173-year-old Howrah railway station set for upgrade, to run more trains by 2030"
431,"‘Mahilaon mei dam hai’: On Women’s Day, President calls for end to gender discrimination, change in mindset at home"
432,"Nasir-Junaid murder: Victims’ families ‘worried’ as Monu Manesar released from jail, return home to drum beats, garlands"
433,Iran-Israel war: Jaishankar to speak on West Asia conflict in Parliament today
434,‘Corruption is security snatched from a family’: Lt Governor Manoj Sinha opens new high-tech ACB hubs in Jammu
435,"Sanitary pads, biogas and yoga: How women Mukhiyas are quietly reshaping rural Bihar"
436,Railways revises schedule of Coimbatore-Bengaluru Vande Bharat train
437,Iran-Israel war 2026: Air India to operate 78 additional international flights on 9 routes from March 10 – Full list
438,"Nagercoil-Charlapalli Amrit Bharat Express: Check launch date, route, stoppages, frequency"
439,"Assaulted by driver during taxi ride to Nainital, Delhi woman forced to hide near village for hours: police"
440,"Father carries newborn’s body from hospital in cardboard box, Jharkhand to probe why no ambulance provided"
441,"Over 52,000 Indian nationals brought back from Gulf to India in a week, says MEA"
442,"Exclusive: Vaishno Devi medical college, which lost MBBS nod amid protests against Muslim students, seeks fresh approval"
443,BJP Nagaland ally and ruling NPF opposes Vande Mataram: ‘Alien… threatens our rights’
444,Self-taught Jharkhand developer builds dictionary app to keep Ho language alive – ‘Language is one of the biggest markers of our identity
445,"BJP leader ‘arrested for growing opium on 5-acre farm’ in Chhattisgarh, suspended from party"
446,Rs 54k out-of-pocket expenditure per hospitalisation in pvt facilities under PMJAY: Study commissioned by Niti Aayog
447,"Daily wage worker’s daughter, IFS dream written on her wall, Kerala’s Sreeja gets UPSC rank 57 in her first attempt"
448,"Heatwave alert for Vidarbha, Andhra, TN, Gujarat until March 11"
449,"Iran-Israel war: Air India, Air India Express to operate 50+ flights to six Middle East cities on March 8 – Full list"
450,‘Corruption is security snatched from a family’: Lt Governor Manoj Sinha opens new high-tech ACB hubs in Jammu
